Participant.Private.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Consent.Form,Spreadsheet.Row,Trial.Number,Image,Subject,Predicate,Practice.Accuracy,AgeL2Eng,LocEng,TimeuseEng,DateEngAcq,L1,GenderText,feminine,masculine,agender,Gender.Category.Coarse,Gender.Category.Fine
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,20,1,fem- standing.jpg,She,stood.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,17,2,fem- pray.jpg,She,prayed.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,16,3,fem- on the phone.jpg,She,spoke on the phone.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,3,4,masc- baking.jpg,He,baked.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,10,5,masc-ironing.jpg,He,ironed.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,11,6,NB- driving.jpg,He,drove.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,2,7,fem- filming.jpg,She,filmed.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,19,8,fem- smoking.jpg,She,smoked.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,18,9,fem- pushing trolley.jpg,She,pushed a trolley.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,7,10,Masc- shaving.jpg,He,shaved.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,6,11,masc- rowing.jpg,He,rowed.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,14,12,NB- shivering.jpg,They,shivered.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,1,13,fem- dive.jpg,She,dived.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,15,14,fem- knit.jpg,She,knitted.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,12,15,NB reading.jpg,They,read a book.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,8,16,masc- sitting.jpg,He,sat on the floor.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,5,17,Masc- cleaning.jpg,He,cleaned.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,4,18,masc- bowing.jpg,He,bowed.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,9,19,masc- sleeping.jpg,He,slept.,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646255,computer,Desktop or Laptop,Mac OS 11.0.1,Chrome 87.0.4280.88,yes,13,20,NB- running.jpg,PRONOUN...,PREDICATE...,4,NA,In my home,~100%,393,English,cis woman,78,60,44,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,7,1,Masc- shaving.jpg,He,shaved.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,2,2,fem- filming.jpg,She,filmed.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,3,3,masc- baking.jpg,He,baked.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,13,4,NB- running.jpg,They,went for a run.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,10,5,masc-ironing.jpg,He,ironed.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,16,6,fem- on the phone.jpg,She,spoke on the phone.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,9,7,masc- sleeping.jpg,He,slept.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,8,8,masc- sitting.jpg,He,sat on the floor.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,15,9,fem- knit.jpg,She,knitted.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,6,10,masc- rowing.jpg,He,rowed.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,11,11,NB- driving.jpg,They,drove.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,19,12,fem- smoking.jpg,They,smoked.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,5,13,Masc- cleaning.jpg,He,cleaned.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,20,14,fem- standing.jpg,She,stood.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,17,15,fem- pray.jpg,She,prayed.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,18,16,fem- pushing trolley.jpg,She,pushed a trolley.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,12,17,NB reading.jpg,They,read a book.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,4,18,masc- bowing.jpg,He,bowed.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,14,19,NB- shivering.jpg,They,shivered.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646262,computer,Desktop or Laptop,Windows 10,Firefox 83.0,yes,1,20,fem- dive.jpg,She,dived.,4,NA,In my home,~100%,428,English,cis woman,50,50,77,woman,woman
2646279,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,yes,10,1,masc-ironing.jpg,He,ironed.,4,NA,In my home,~100%,464,English,Male,15,63,7,man,male
2646279,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,yes,14,2,NB- shivering.jpg,She,shivered.,4,NA,In my home,~100%,464,English,Male,15,63,7,man,male
2646279,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,yes,3,3,masc- baking.jpg,He,baked.,4,NA,In my home,~100%,464,English,Male,15,63,7,man,male
2646279,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,yes,5,4,Masc- cleaning.jpg,He,cleaned.,4,NA,In my home,~100%,464,English,Male,15,63,7,man,male
