DATAFLOW,MEASURE: Measure,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1975,81172,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1976,78749,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1977,78302,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1978,78052,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1979,77469,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1980,79801,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1981,81971,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1982,83908,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1983,83307,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1984,77994,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1985,87786,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1986,84531,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1987,86093,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1988,84647,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1989,85790,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1990,90534,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1991,87367,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1992,92585,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1993,89354,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1994,87977,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1995,87849,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1996,86595,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1997,87156,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1998,85499,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,1999,86784,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2000,86752,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2001,84578,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2002,86583,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2003,86344,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2004,85894,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2005,91224,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2006,92188,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2007,96351,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2008,100276,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2009,98231,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2010,101266,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2011,99054,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2012,98508,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2013,100462,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2014,91074,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2015,100079,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2016,96083,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2017,96591,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2018,107343,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2019,98906,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2020,95459,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2021,101332,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2022,97884,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1975,29913,NUM: Number,,
