name,number,year,asab
Rebecca ,30,1980,F
Sarah ,24,1980,F
Samantha ,15,1980,F
Michelle ,14,1980,F
Natasha ,14,1980,F
Anna ,12,1980,F
Jennifer ,12,1980,F
Kelly ,12,1980,F
Lisa ,12,1980,F
Shannon ,12,1980,F
Emma ,11,1980,F
Melissa ,11,1980,F
Amy ,10,1980,F
Chloe,23,2002,F
Jessica,22,2002,F
Emma,14,2002,F
Grace,14,2002,F
Sarah,13,2002,F
Shakira,14,2002,F
Emily,13,2002,F
Amy,12,2002,F
Hannah,12,2002,F
Hayley,12,2002,F
Jasmine,11,2002,F
Madison,11,2002,F
Georgia,10,2002,F
Ella,9,2002,F
Lucy,9,2002,F
Maria,9,2002,F
Samantha,9,2002,F
Caitlin,8,2002,F
Charlotte,8,2002,F
Danielle,8,2002,F
Chloe,24,2003,F
Jessica,20,2003,F
Emma,19,2003,F
Sarah,18,2003,F
Emily,16,2003,F
Jasmine,13,2003,F
Ella,12,2003,F
Hannah,12,2003,F
Isabella,11,2003,F
Jade,11,2003,F
Grace,10,2003,F
Hayley,10,2003,F
Zoe,10,2003,F
Elizabeth,9,2003,F
Tahlia,9,2003,F
Taylah,9,2003,F
Amelia,8,2003,F
Ashleigh,8,2003,F
Madison,8,2003,F
Olivia,8,2003,F
Charlotte,18,2004,F
Jessica,17,2004,F
Chloe,15,2004,F
Hannah,15,2004,F
Emily,14,2004,F
Ella,13,2004,F
Grace,13,2004,F
Jasmine,13,2004,F
Sarah,12,2004,F
Amy,11,2004,F
Isabella,11,2004,F
Mia,11,2004,F
Amelia,10,2004,F
Olivia,10,2004,F
Hayley,9,2004,F
Emma,8,2004,F
Matilda,8,2004,F
Anna,7,2004,F
Brooke,7,2004,F
Jade,7,2004,F
Emily,20,2005,F
Lily,19,2005,F
Sophie,17,2005,F
Chloe,15,2005,F
Grace,15,2005,F
Jessica,14,2005,F
Charlotte,11,2005,F
Emma,11,2005,F
Georgia,11,2005,F
Mia,11,2005,F
Madison,10,2005,F
Hannah,9,2005,F
Holly,9,2005,F
Molly,9,2005,F
