year	male	female	total
1954	..	..	54057
1955	..	..	55596
1956	..	..	56532
1957	..	..	58425
1958	..	..	60558
1959	..	..	61800
1960	..	..	62778
1961	..	..	65391
1962	..	..	65013
1963	..	..	64527
1964	..	..	62304
1965	..	..	60045
1966	..	..	60003
1967	..	..	61023
1968	..	..	62112
1969	..	..	62361
1970	..	..	62052
1971	32997	31464	64458
1972	32289	30927	63216
1973	31095	29628	60729
1974	30510	28824	59334
1975	28875	27765	56640
1976	28542	26559	55104
1977	27786	26391	54180
1978	26064	24966	51030
1979	26670	25608	52278
1980	25938	24606	50541
1981	26127	24666	50793
1982	25698	24240	49938
1983	25878	24600	50475
1984	26493	25143	51636
1985	26559	25242	51798
1986	26898	25923	52821
1987	28593	26661	55254
1988	29511	28035	57546
1989	29658	28434	58092
1990	30708	29445	60153
1991	30825	29085	59913
1992	30726	28440	59166
1993	30312	28467	58782
1994	29409	27912	57321
1995	29877	27792	57672
1996	29460	27819	57282
1997	29430	28173	57603
1998	28584	26766	55350
1999	29184	27870	57051
2000	29157	27447	56604
2001	28332	27465	55800
2002	27579	26445	54021
2003	28818	27315	56136
2004	29742	28329	58074
2005	29544	28200	57744
2006	30240	28953	59193
2007	33012	31032	64044
2008	33102	31242	64341
2009	32112	30432	62541
2010	32904	30993	63897
2011	31476	29928	61404
2012	31242	29934	61179
2013	30141	28575	58719
2014	29595	27648	57243
2015	31356	29682	61038
2016	30519	28908	59430
2017	30588	29022	59610
2018	29709	28308	58020
2019	30567	29070	59637
2020	29532	28041	57573
2021	30027	28632	58659
2022	29925	28959	58887
