name	numberUKF	numberUKM	numberUSF	numberUSM
Aadhya	37	0	0	0
Aadila	3	0	0	0
Aaditri	3	0	0	0
Aadya	68	7	113	0
Aaeesha	15	0	0	0
Aafia	46	0	0	0
Aafiya	10	0	0	0
Aafiyah	33	0	0	0
Aafreen	50	0	0	0
Aafrin	9	0	0	0
Aahana	44	0	117	0
Aahna	10	0	0	0
Aaila	51	0	0	0
Aailyah	3	0	0	0
Aaima	59	0	0	0
Aaina	9	0	0	0
Aaira	49	0	0	0
Aairah	27	0	0	0
Aaisha	571	0	0	0
Aa'isha	6	0	0	0
Aaishah	206	0	0	0
Aa'ishah	18	0	0	0
Aaiza	41	0	0	0
Aaizah	11	0	0	0
Aakifa	10	0	0	0
Aakifah	138	0	0	0
Aakriti	3	0	0	0
Aala	28	0	0	0
Aalaa	12	0	0	0
Aalaya	3	0	0	0
Aalayah	41	0	276	0
Aaleah	3	0	0	0
Aaleen	6	0	0	0
Aaleigha	10	0	0	0
Aaleyah	99	0	221	0
Aalia	236	0	146	0
Aaliah	159	0	451	0
Aalimah	14	0	0	0
Aalisha	13	0	0	0
Aaliya	447	0	497	0
Aaliyah	6342	0	36235	0
Aaliyah-louise	3	0	0	0
Aaliyah-mae	7	0	0	0
Aaliyah-marie	3	0	0	0
Aaliyah-may	6	0	0	0
Aaliyah-rose	18	0	0	0
Aaliyha	30	0	253	0
Aalliyah	3	0	0	0
Aalya	3	0	0	0
Aalyah	3	0	375	0
Aalyiah	3	0	363	0
Aamanah	3	0	0	0
Aamanee	11	0	0	0
Aamani	30	0	0	0
Aamaya	3	0	0	0
Aamena	110	0	0	0
Aamenah	46	0	0	0
Aamilah	93	0	0	0
Aamina	882	0	108	0
Aaminah	1255	0	106	0
Aamira	86	0	0	0
Aamirah	143	0	0	0
Aamna	369	0	114	0
Aamnah	53	0	0	0
Aana	3	0	0	0
Aanchal	8	0	0	0
Aania	36	0	0	0
Aanika	4	0	136	0
Aanisah	56	0	0	0
Aanisha	3	0	0	0
Aaniya	20	0	159	0
Aaniyah	16	0	662	0
Aanvi	3	0	0	0
Aanya	392	0	752	0
Aara	29	0	0	0
Aarabi	7	0	0	0
Aaradhya	30	0	0	0
Aaralyn	3	0	525	0
Aarani	10	0	0	0
Aaria	19	0	0	0
Aariah	4	0	0	0
Aariana	3	0	191	0
Aarifah	58	0	0	0
Aarika	8	0	0	0
Aarini	3	0	0	0
Aarisha	3	0	0	0
Aariya	43	0	0	0
Aarna	100	0	178	0
Aarohi	15	0	0	0
Aarthi	7	0	0	0
Aarti	53	0	0	0
Aarushi	86	0	391	0
Aarvi	10	0	0	0
Aarya	189	34	302	164
Aaryahi	3	0	0	0
Aaryanna	3	0	137	0
Aarzo	3	0	0	0
Aarzoo	31	0	0	0
Aarzu	3	0	0	0
Aasha	29	0	0	0
Aashi	67	0	197	0
Aashika	10	0	0	0
Aashiyana	3	0	0	0
Aashna	50	0	286	0
Aashni	27	0	0	0
Aashritha	4	0	0	0
Aashvi	6	0	0	0
Aasia	40	0	105	0
Aasiya	145	0	0	0
Aasiyah	239	0	227	0
Aastha	16	0	188	0
Aathira	4	0	0	0
Aatifa	3	0	0	0
Aatika	26	0	0	0
Aatikah	49	0	0	0
Aatiqa	8	0	0	0
Aatiqah	11	0	0	0
Aava	7	0	0	0
Aavni	4	0	0	0
Aaya	49	0	0	0
Aayah	51	0	0	0
Aayana	7	0	0	0
Aayat	92	0	0	0
Aayath	4	0	0	0
Aayesha	14	0	0	0
Aayla	24	0	114	0
Aayma	3	0	0	0
Aayra	3	0	0	0
Aaysha	12	0	0	0
Aayushi	32	0	124	0
Aayza	4	0	0	0
Aazeen	4	0	0	0
Aba	9	0	0	0
Abagael	4	0	0	0
Abagail	21	0	2764	0
Abaigeal	3	0	154	0
Abbe	14	0	0	0
Abbee	6	0	0	0
Abbey	2704	0	4930	0
Abbeygail	56	0	0	0
Abbeygale	13	0	0	0
Abbeygayle	4	0	0	0
Abbey-leigh	8	0	0	0
Abbey-louise	3	0	0	0
Abbi	1124	0	667	0
Abbie	15159	0	4626	0
Abbiegail	82	0	133	0
Abbie-gail	4	0	0	0
Abbiegale	14	0	0	0
Abbiegayle	3	0	0	0
Abbie-gayle	3	0	0	0
Abbie-grace	3	0	0	0
Abbie-jai	3	0	0	0
Abbie-jane	3	0	0	0
Abbie-jo	19	0	0	0
Abbie-lea	6	0	0	0
Abbie-lee	4	0	0	0
Abbieleigh	3	0	0	0
Abbie-leigh	113	0	0	0
Abbielouise	3	0	0	0
Abbie-louise	57	0	0	0
Abbie-mae	34	0	0	0
Abbie-mai	3	0	0	0
Abbie-may	39	0	0	0
Abbie-rose	19	0	0	0
Abbigail	543	0	5860	0
Abbigale	56	0	1129	0
Abbigayle	26	0	709	0
Abbi-leigh	4	0	0	0
Abbi-louise	3	0	0	0
Abbi-mae	3	0	0	0
Abby	4452	0	17171	0
Abbygael	3	0	0	0
Abbygail	107	0	1667	0
Abbygale	12	0	434	0
Abbygayle	6	0	272	0
Abby-leigh	10	0	0	0
Abby-may	3	0	0	0
Abeda	15	0	0	0
Abeeda	10	0	0	0
Abeeha	106	0	0	0
Abeer	75	24	156	0
Abeera	88	0	0	0
Abeerah	22	0	0	0
Abela	3	0	0	0
Abella	6	0	163	0
Abena	140	0	174	0
Abeni	6	0	183	0
Abhia	3	0	0	0
Abhirami	3	0	0	0
Abi	1480	0	179	0
Abia	73	0	0	0
Abibat	3	0	0	0
Abibatu	3	0	0	0
Abida	416	0	0	0
Abidah	70	0	0	0
Abidemi	3	0	0	0
Abie	25	9	0	83
Abieyuwa	3	0	0	0
Abigael	203	0	714	0
Abigail	38040	0	150518	258
Abigaile	33	0	322	0
Abigail-louise	6	0	0	0
