Name	Gender	Rank.2013	Count.2013	Rank.2012	Count.2012	Rank.2011	Count.2011	Rank.2010	Count.2010	Rank.2009	Count.2009	Rank.2008	Count.2008	Rank.2007	Count.2007	Rank.2006	Count.2006	Rank.2005	Count.2005	Rank.2004	Count.2004	Rank.2003	Count.2003	Rank.2002	Count.2002	Rank.2001	Count.2001	Rank.2000	Count.2000	Rank.1999	Count.1999	Rank.1998	Count.1998	Rank.1997	Count.1997	Rank.1996	Count.1996
Aadhya	female	1707	17	1893	15	4049	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aadila	female	0	0	0	0	0	0	5707	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aaditri	female	0	0	5876	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aadya	female	1253	27	2215	12	2432	10	4688	4	5556	3	3860	5	2895	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aaeesha	female	0	0	2717	9	3549	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aafia	female	3536	6	2521	10	2432	10	2589	9	0	0	3860	5	5201	3	0	0	4798	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aafiya	female	5742	3	0	0	0	0	4688	4	0	0	0	0	5201	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aafiyah	female	2649	9	3285	7	4049	5	4012	5	0	0	4524	4	0	0	0	0	4798	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aafreen	female	0	0	2338	11	3549	6	4688	4	5556	3	3860	5	0	0	0	0	2970	6	0	0	2727	6	2868	5	3262	4	0	0	0	0	0	0	0	0	0	0
Aafrin	female	0	0	0	0	0	0	0	0	5556	3	5545	3	0	0	0	0	0	0	0	0	0	0	4137	3	0	0	0	0	0	0	0	0	0	0	0	0
