locale	neutName	rankF	rankM	countF	countM	totalF	totalM	rank.diff	rank.mean	count.mean	totalCount	logCount	abs
USA	Jordan	75	38	NA	NA	43090	100806	-37	56.5	71948	143896	11.876846	37
USA	Riley	67	107	NA	NA	45427	39526	40	87	42476.5	84953	11.349853	40
USA	Amari	456	415	NA	NA	6614	6560	-41	435.5	6587	13174	9.486	41
USA	Peyton	123	165	NA	NA	27395	24892	42	144	26143.5	52287	10.864503	42
USA	Jessie	524	462	NA	NA	5657	5583	-62	493	5620	11240	9.327234	62
USA	Skyler	309	243	NA	NA	10185	13987	-66	276	12086	24172	10.09295	66
USA	Reilly	1009	938	NA	NA	2434	1910	-71	973.5	2172	4344	8.376551	71
USA	Casey	346	271	NA	NA	9104	12234	-75	308.5	10669	21338	9.968245	75
USA	Angel	134	43	NA	NA	25313	94081	-91	88.5	59697	119394	11.690184	91
USA	Justice	515	403	NA	NA	5784	6885	-112	459	6334.5	12669	9.446913	112
USA	Harley	389	501	NA	NA	8179	5071	112	445	6625	13250	9.491753	112
USA	Payton	143	260	NA	NA	23324	12963	117	201.5	18143.5	36287	10.499215	117
USA	Emerson	485	604	NA	NA	6185	3751	119	544.5	4968	9936	9.20392	119
USA	Dakota	261	141	NA	NA	12342	28062	-120	201	20202	40404	10.606684	120
USA	Alexis	11	142	NA	NA	130448	27995	131	76.5	79221.5	158443	11.97315	131
USA	Avery	78	222	NA	NA	41604	15817	144	150	28710.5	57421	10.958165	144
USA	Shea	838	984	NA	NA	3046	1797	146	911	2421.5	4843	8.48529	146
USA	Jayden	232	51	NA	NA	13980	88121	-181	141.5	51050.5	102101	11.533718	181
USA	Reese	238	421	NA	NA	13793	6426	183	329.5	10109.5	20219	9.914378	183
USA	Dominique	471	661	NA	NA	6414	3235	190	566	4824.5	9649	9.17461	190
USA	Armani	862	670	NA	NA	2904	3212	-192	766	3058	6116	8.718664	192
USA	Taylor	17	210	NA	NA	100797	17626	193	113.5	59211.5	118423	11.682018	193
USA	Devyn	906	712	NA	NA	2772	2862	-194	809	2817	5634	8.636575	194
USA	Jaden	306	93	NA	NA	10327	46112	-213	199.5	28219.5	56439	10.940916	213
USA	Kasey	563	777	NA	NA	5215	2470	214	670	3842.5	7685	8.947026	214
USA	Rowan	692	477	NA	NA	3950	5461	-215	584.5	4705.5	9411	9.149634	215
USA	Hayden	304	87	NA	NA	10455	49933	-217	195.5	30194	60388	11.008546	217
USA	Campbell	851	1069	NA	NA	2955	1563	218	960	2259	4518	8.415825	218
USA	Sage	421	643	NA	NA	7236	3397	222	532	5316.5	10633	9.271718	222
USA	Cameron	270	39	NA	NA	11886	95636	-231	154.5	53761	107522	11.585451	231
USA	Jaylin	679	443	NA	NA	4060	5845	-236	561	4952.5	9905	9.200795	236
USA	Jaiden	506	246	NA	NA	5949	13749	-260	376	9849	19698	9.888272	260
USA	Skylar	156	433	NA	NA	21821	6147	277	294.5	13984	27968	10.238816	277
USA	Emery	752	1047	NA	NA	3536	1633	295	899.5	2584.5	5169	8.550435	295
USA	Bailey	89	404	NA	NA	36793	6884	315	246.5	21838.5	43677	10.684577	315
USA	Ariel	208	541	NA	NA	16190	4482	333	374.5	10336	20672	9.936535	333
USA	Morgan	31	367	NA	NA	70634	7821	336	199	39227.5	78455	11.27028	336
USA	London	351	692	NA	NA	8969	2963	341	521.5	5966	11932	9.386979	341
USA	Kendall	166	510	NA	NA	20990	5002	344	338	12996	25992	10.165544	344
USA	Quinn	635	288	NA	NA	4426	11057	-347	461.5	7741.5	15483	9.647498	347
USA	Sidney	379	729	NA	NA	8391	2719	350	554	5555	11110	9.315601	350
